UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet,Hour,Day
1475013922,2016-09-27,1900-01-01 12:05:22,1065.45,63,30.4,70,336.36,5.62,1900-01-01 06:13:00,1900-01-01 18:15:00,12,27
1475013625,2016-09-27,1900-01-01 12:00:25,915.28,64,30.4,71,26.87,5.62,1900-01-01 06:13:00,1900-01-01 18:15:00,12,27
1474930520,2016-09-26,1900-01-01 12:55:20,1026.57,60,30.41,69,34.13,11.25,1900-01-01 06:12:00,1900-01-01 18:15:00,12,26
1474930220,2016-09-26,1900-01-01 12:50:20,1033.68,60,30.41,66,339.4,4.5,1900-01-01 06:12:00,1900-01-01 18:15:00,12,26
1474929925,2016-09-26,1900-01-01 12:45:25,1030.61,60,30.41,63,13.74,6.75,1900-01-01 06:12:00,1900-01-01 18:15:00,12,26
1474929627,2016-09-26,1900-01-01 12:40:27,1035.75,60,30.42,61,341.03,9.0,1900-01-01 06:12:00,1900-01-01 18:15:00,12,26
1474929321,2016-09-26,1900-01-01 12:35:21,1041.97,60,30.42,62,43.27,12.37,1900-01-01 06:12:00,1900-01-01 18:15:00,12,26
1474929021,2016-09-26,1900-01-01 12:30:21,1040.64,60,30.42,66,14.64,11.25,1900-01-01 06:12:00,1900-01-01 18:15:00,12,26
1474844122,2016-09-25,1900-01-01 12:55:22,1034.82,63,30.47,67,359.92,9.0,1900-01-01 06:12:00,1900-01-01 18:16:00,12,25
1474843821,2016-09-25,1900-01-01 12:50:21,1035.08,63,30.47,62,11.36,7.87,1900-01-01 06:12:00,1900-01-01 18:16:00,12,25
1474843525,2016-09-25,1900-01-01 12:45:25,1039.83,63,30.47,61,350.56,11.25,1900-01-01 06:12:00,1900-01-01 18:16:00,12,25
1474843221,2016-09-25,1900-01-01 12:40:21,1028.93,63,30.47,60,43.99,11.25,1900-01-01 06:12:00,1900-01-01 18:16:00,12,25
1474842921,2016-09-25,1900-01-01 12:35:21,1041.13,63,30.47,56,336.46,4.5,1900-01-01 06:12:00,1900-01-01 18:16:00,12,25
1474842621,2016-09-25,1900-01-01 12:30:21,1042.65,63,30.47,54,36.15,6.75,1900-01-01 06:12:00,1900-01-01 18:16:00,12,25
1474842324,2016-09-25,1900-01-01 12:25:24,1043.13,63,30.47,52,3.41,7.87,1900-01-01 06:12:00,1900-01-01 18:16:00,12,25
1474842023,2016-09-25,1900-01-01 12:20:23,1044.56,63,30.47,54,359.91,7.87,1900-01-01 06:12:00,1900-01-01 18:16:00,12,25
1474841721,2016-09-25,1900-01-01 12:15:21,1047.31,64,30.48,49,359.92,5.62,1900-01-01 06:12:00,1900-01-01 18:16:00,12,25
1474841424,2016-09-25,1900-01-01 12:10:24,1047.37,64,30.48,48,0.11,5.62,1900-01-01 06:12:00,1900-01-01 18:16:00,12,25
1474841120,2016-09-25,1900-01-01 12:05:20,1045.42,64,30.48,46,1.61,11.25,1900-01-01 06:12:00,1900-01-01 18:16:00,12,25
1474840821,2016-09-25,1900-01-01 12:00:21,1045.82,64,30.48,43,3.03,11.25,1900-01-01 06:12:00,1900-01-01 18:16:00,12,25
1474757721,2016-09-24,1900-01-01 12:55:21,222.25,60,30.46,91,359.93,7.87,1900-01-01 06:12:00,1900-01-01 18:17:00,12,24
1474757425,2016-09-24,1900-01-01 12:50:25,793.83,60,30.46,91,2.37,7.87,1900-01-01 06:12:00,1900-01-01 18:17:00,12,24
1474757122,2016-09-24,1900-01-01 12:45:22,624.65,60,30.46,90,0.11,6.75,1900-01-01 06:12:00,1900-01-01 18:17:00,12,24
1474756821,2016-09-24,1900-01-01 12:40:21,1254.53,59,30.46,89,17.67,6.75,1900-01-01 06:12:00,1900-01-01 18:17:00,12,24
1474756527,2016-09-24,1900-01-01 12:35:27,299.84,59,30.47,89,0.86,5.62,1900-01-01 06:12:00,1900-01-01 18:17:00,12,24
1474756220,2016-09-24,1900-01-01 12:30:20,275.08,59,30.47,89,336.31,5.62,1900-01-01 06:12:00,1900-01-01 18:17:00,12,24
1474755922,2016-09-24,1900-01-01 12:25:22,147.01,60,30.47,88,18.26,9.0,1900-01-01 06:12:00,1900-01-01 18:17:00,12,24
1474755618,2016-09-24,1900-01-01 12:20:18,112.05,60,30.47,89,358.25,5.62,1900-01-01 06:12:00,1900-01-01 18:17:00,12,24
1474755320,2016-09-24,1900-01-01 12:15:20,128.25,60,30.47,89,332.06,5.62,1900-01-01 06:12:00,1900-01-01 18:17:00,12,24
1474755021,2016-09-24,1900-01-01 12:10:21,144.48,61,30.47,88,1.74,10.12,1900-01-01 06:12:00,1900-01-01 18:17:00,12,24
1474754725,2016-09-24,1900-01-01 12:05:25,128.72,61,30.47,84,11.26,5.62,1900-01-01 06:12:00,1900-01-01 18:17:00,12,24
1474754420,2016-09-24,1900-01-01 12:00:20,82.81,62,30.47,84,307.15,6.75,1900-01-01 06:12:00,1900-01-01 18:17:00,12,24
1474671320,2016-09-23,1900-01-01 12:55:20,307.8,61,30.44,82,130.32,7.87,1900-01-01 06:12:00,1900-01-01 18:18:00,12,23
1474671019,2016-09-23,1900-01-01 12:50:19,393.29,61,30.44,83,29.23,5.62,1900-01-01 06:12:00,1900-01-01 18:18:00,12,23
1474670718,2016-09-23,1900-01-01 12:45:18,412.59,60,30.44,86,95.87,6.75,1900-01-01 06:12:00,1900-01-01 18:18:00,12,23
1474670421,2016-09-23,1900-01-01 12:40:21,423.09,60,30.44,85,6.28,3.37,1900-01-01 06:12:00,1900-01-01 18:18:00,12,23
1474670118,2016-09-23,1900-01-01 12:35:18,298.33,60,30.45,85,110.22,7.87,1900-01-01 06:12:00,1900-01-01 18:18:00,12,23
1474669824,2016-09-23,1900-01-01 12:30:24,259.37,60,30.45,85,73.39,6.75,1900-01-01 06:12:00,1900-01-01 18:18:00,12,23
1474669523,2016-09-23,1900-01-01 12:25:23,222.39,60,30.45,85,119.22,7.87,1900-01-01 06:12:00,1900-01-01 18:18:00,12,23
1474669220,2016-09-23,1900-01-01 12:20:20,181.93,61,30.45,85,121.03,12.37,1900-01-01 06:12:00,1900-01-01 18:18:00,12,23
1474668922,2016-09-23,1900-01-01 12:15:22,179.84,61,30.45,85,111.97,6.75,1900-01-01 06:12:00,1900-01-01 18:18:00,12,23
1474668620,2016-09-23,1900-01-01 12:10:20,248.27,62,30.45,82,124.92,5.62,1900-01-01 06:12:00,1900-01-01 18:18:00,12,23
1474668326,2016-09-23,1900-01-01 12:05:26,587.78,62,30.45,85,127.16,15.75,1900-01-01 06:12:00,1900-01-01 18:18:00,12,23
1474668019,2016-09-23,1900-01-01 12:00:19,1328.5,60,30.45,89,55.83,7.87,1900-01-01 06:12:00,1900-01-01 18:18:00,12,23
1474584923,2016-09-22,1900-01-01 12:55:23,1026.06,70,30.42,42,126.67,13.5,1900-01-01 06:11:00,1900-01-01 18:19:00,12,22
1474584623,2016-09-22,1900-01-01 12:50:23,1043.82,70,30.42,41,123.91,11.25,1900-01-01 06:11:00,1900-01-01 18:19:00,12,22
1474584322,2016-09-22,1900-01-01 12:45:22,1048.62,70,30.42,41,154.89,11.25,1900-01-01 06:11:00,1900-01-01 18:19:00,12,22
1474584019,2016-09-22,1900-01-01 12:40:19,1046.32,70,30.42,39,179.37,16.87,1900-01-01 06:11:00,1900-01-01 18:19:00,12,22
1474583719,2016-09-22,1900-01-01 12:35:19,1047.28,71,30.42,36,129.04,13.5,1900-01-01 06:11:00,1900-01-01 18:19:00,12,22
1474583419,2016-09-22,1900-01-01 12:30:19,1049.18,70,30.42,38,169.69,10.12,1900-01-01 06:11:00,1900-01-01 18:19:00,12,22
1474583121,2016-09-22,1900-01-01 12:25:21,1048.33,70,30.42,37,136.29,13.5,1900-01-01 06:11:00,1900-01-01 18:19:00,12,22
1474582820,2016-09-22,1900-01-01 12:20:20,1051.97,70,30.42,37,137.95,13.5,1900-01-01 06:11:00,1900-01-01 18:19:00,12,22
1474582522,2016-09-22,1900-01-01 12:15:22,1047.71,70,30.42,41,155.62,11.25,1900-01-01 06:11:00,1900-01-01 18:19:00,12,22
1474582219,2016-09-22,1900-01-01 12:10:19,1048.27,70,30.42,38,92.03,11.25,1900-01-01 06:11:00,1900-01-01 18:19:00,12,22
1474581921,2016-09-22,1900-01-01 12:05:21,1053.17,71,30.43,32,84.45,3.37,1900-01-01 06:11:00,1900-01-01 18:19:00,12,22
1474581618,2016-09-22,1900-01-01 12:00:18,1044.95,70,30.43,32,116.57,15.75,1900-01-01 06:11:00,1900-01-01 18:19:00,12,22
1474498522,2016-09-21,1900-01-01 12:55:22,1042.73,59,30.4,81,30.1,7.87,1900-01-01 06:11:00,1900-01-01 18:20:00,12,21
1474498222,2016-09-21,1900-01-01 12:50:22,1051.3,59,30.41,81,12.94,10.12,1900-01-01 06:11:00,1900-01-01 18:20:00,12,21
1474497920,2016-09-21,1900-01-01 12:45:20,510.51,59,30.41,82,351.92,5.62,1900-01-01 06:11:00,1900-01-01 18:20:00,12,21
1474497621,2016-09-21,1900-01-01 12:40:21,1100.92,59,30.41,83,24.81,5.62,1900-01-01 06:11:00,1900-01-01 18:20:00,12,21
1474497322,2016-09-21,1900-01-01 12:35:22,765.08,58,30.41,84,336.49,5.62,1900-01-01 06:11:00,1900-01-01 18:20:00,12,21
1474497021,2016-09-21,1900-01-01 12:30:21,665.41,59,30.41,84,327.3,5.62,1900-01-01 06:11:00,1900-01-01 18:20:00,12,21
1474496720,2016-09-21,1900-01-01 12:25:20,1108.61,59,30.41,83,107.91,3.37,1900-01-01 06:11:00,1900-01-01 18:20:00,12,21
1474496423,2016-09-21,1900-01-01 12:20:23,378.54,58,30.41,85,53.97,5.62,1900-01-01 06:11:00,1900-01-01 18:20:00,12,21
1474496121,2016-09-21,1900-01-01 12:15:21,940.75,57,30.41,87,359.65,6.75,1900-01-01 06:11:00,1900-01-01 18:20:00,12,21
1474495821,2016-09-21,1900-01-01 12:10:21,934.38,57,30.41,90,43.83,9.0,1900-01-01 06:11:00,1900-01-01 18:20:00,12,21
1474495520,2016-09-21,1900-01-01 12:05:20,568.17,58,30.42,89,13.01,4.5,1900-01-01 06:11:00,1900-01-01 18:20:00,12,21
1474495221,2016-09-21,1900-01-01 12:00:21,1009.24,57,30.42,89,11.98,2.25,1900-01-01 06:11:00,1900-01-01 18:20:00,12,21
1474412104,2016-09-20,1900-01-01 12:55:04,1039.15,65,30.4,57,2.26,5.62,1900-01-01 06:11:00,1900-01-01 18:21:00,12,20
1474411804,2016-09-20,1900-01-01 12:50:04,1041.37,65,30.4,57,8.03,10.12,1900-01-01 06:11:00,1900-01-01 18:21:00,12,20
1474411508,2016-09-20,1900-01-01 12:45:08,1044.98,64,30.4,58,42.07,9.0,1900-01-01 06:11:00,1900-01-01 18:21:00,12,20
1474411207,2016-09-20,1900-01-01 12:40:07,1050.7,64,30.4,52,0.18,7.87,1900-01-01 06:11:00,1900-01-01 18:21:00,12,20
1474410910,2016-09-20,1900-01-01 12:35:10,1054.22,63,30.4,43,0.12,4.5,1900-01-01 06:11:00,1900-01-01 18:21:00,12,20
1474410605,2016-09-20,1900-01-01 12:30:05,1059.67,63,30.41,39,1.66,6.75,1900-01-01 06:11:00,1900-01-01 18:21:00,12,20
1474410304,2016-09-20,1900-01-01 12:25:04,1060.99,62,30.41,54,22.13,3.37,1900-01-01 06:11:00,1900-01-01 18:21:00,12,20
1474410008,2016-09-20,1900-01-01 12:20:08,1059.81,62,30.41,65,7.21,6.75,1900-01-01 06:11:00,1900-01-01 18:21:00,12,20
1474409708,2016-09-20,1900-01-01 12:15:08,1062.79,63,30.41,62,42.29,10.12,1900-01-01 06:11:00,1900-01-01 18:21:00,12,20
1474409407,2016-09-20,1900-01-01 12:10:07,1060.78,63,30.41,65,8.9,6.75,1900-01-01 06:11:00,1900-01-01 18:21:00,12,20
1474409116,2016-09-20,1900-01-01 12:05:16,1061.81,63,30.41,61,36.06,10.12,1900-01-01 06:11:00,1900-01-01 18:21:00,12,20
1474408805,2016-09-20,1900-01-01 12:00:05,1058.71,63,30.41,60,47.89,4.5,1900-01-01 06:11:00,1900-01-01 18:21:00,12,20
1474325705,2016-09-19,1900-01-01 12:55:05,1076.17,66,30.43,28,39.73,5.62,1900-01-01 06:11:00,1900-01-01 18:22:00,12,19
1474325406,2016-09-19,1900-01-01 12:50:06,1081.23,67,30.43,27,22.62,5.62,1900-01-01 06:11:00,1900-01-01 18:22:00,12,19
1474325103,2016-09-19,1900-01-01 12:45:03,1055.14,67,30.43,22,21.1,11.25,1900-01-01 06:11:00,1900-01-01 18:22:00,12,19
1474324804,2016-09-19,1900-01-01 12:40:04,989.61,67,30.43,25,47.33,10.12,1900-01-01 06:11:00,1900-01-01 18:22:00,12,19
1474324508,2016-09-19,1900-01-01 12:35:08,1061.0,67,30.43,22,21.31,5.62,1900-01-01 06:11:00,1900-01-01 18:22:00,12,19
1474324205,2016-09-19,1900-01-01 12:30:05,1058.03,67,30.44,22,12.41,10.12,1900-01-01 06:11:00,1900-01-01 18:22:00,12,19
1474323908,2016-09-19,1900-01-01 12:25:08,1077.5,67,30.44,15,16.44,4.5,1900-01-01 06:11:00,1900-01-01 18:22:00,12,19
1474323612,2016-09-19,1900-01-01 12:20:12,1083.74,67,30.44,19,39.22,6.75,1900-01-01 06:11:00,1900-01-01 18:22:00,12,19
1474323302,2016-09-19,1900-01-01 12:15:02,1085.75,67,30.44,26,17.73,6.75,1900-01-01 06:11:00,1900-01-01 18:22:00,12,19
1474323006,2016-09-19,1900-01-01 12:10:06,1071.32,67,30.44,25,29.86,7.87,1900-01-01 06:11:00,1900-01-01 18:22:00,12,19
1474322706,2016-09-19,1900-01-01 12:05:06,1079.95,67,30.44,25,350.71,4.5,1900-01-01 06:11:00,1900-01-01 18:22:00,12,19
1474322404,2016-09-19,1900-01-01 12:00:04,1072.26,67,30.44,25,338.01,7.87,1900-01-01 06:11:00,1900-01-01 18:22:00,12,19
1474239306,2016-09-18,1900-01-01 12:55:06,1029.12,61,30.46,82,37.26,7.87,1900-01-01 06:11:00,1900-01-01 18:23:00,12,18
1474238702,2016-09-18,1900-01-01 12:45:02,1028.58,62,30.46,80,0.22,6.75,1900-01-01 06:11:00,1900-01-01 18:23:00,12,18
1474238406,2016-09-18,1900-01-01 12:40:06,1032.72,62,30.46,78,57.05,5.62,1900-01-01 06:11:00,1900-01-01 18:23:00,12,18
1474238107,2016-09-18,1900-01-01 12:35:07,1030.59,62,30.46,78,23.43,6.75,1900-01-01 06:11:00,1900-01-01 18:23:00,12,18
1474237804,2016-09-18,1900-01-01 12:30:04,1033.68,62,30.46,76,35.34,7.87,1900-01-01 06:11:00,1900-01-01 18:23:00,12,18
1474237504,2016-09-18,1900-01-01 12:25:04,1033.32,63,30.46,77,64.67,5.62,1900-01-01 06:11:00,1900-01-01 18:23:00,12,18
1474237206,2016-09-18,1900-01-01 12:20:06,1035.95,62,30.46,78,26.91,3.37,1900-01-01 06:11:00,1900-01-01 18:23:00,12,18
1474236910,2016-09-18,1900-01-01 12:15:10,1040.38,62,30.47,77,11.08,7.87,1900-01-01 06:11:00,1900-01-01 18:23:00,12,18
1474236607,2016-09-18,1900-01-01 12:10:07,1042.41,61,30.47,78,32.47,6.75,1900-01-01 06:11:00,1900-01-01 18:23:00,12,18
1474236305,2016-09-18,1900-01-01 12:05:05,1039.52,62,30.47,76,359.43,6.75,1900-01-01 06:11:00,1900-01-01 18:23:00,12,18
1474236006,2016-09-18,1900-01-01 12:00:06,1038.32,62,30.47,74,29.49,6.75,1900-01-01 06:11:00,1900-01-01 18:23:00,12,18
1474152903,2016-09-17,1900-01-01 12:55:03,588.75,59,30.47,92,4.34,10.12,1900-01-01 06:10:00,1900-01-01 18:24:00,12,17
1474152602,2016-09-17,1900-01-01 12:50:02,782.21,59,30.47,93,75.96,9.0,1900-01-01 06:10:00,1900-01-01 18:24:00,12,17
1474152307,2016-09-17,1900-01-01 12:45:07,714.25,59,30.48,92,32.05,9.0,1900-01-01 06:10:00,1900-01-01 18:24:00,12,17
1474152008,2016-09-17,1900-01-01 12:40:08,755.93,59,30.48,92,354.86,5.62,1900-01-01 06:10:00,1900-01-01 18:24:00,12,17
1474151705,2016-09-17,1900-01-01 12:35:05,724.16,59,30.48,93,107.81,7.87,1900-01-01 06:10:00,1900-01-01 18:24:00,12,17
1474151406,2016-09-17,1900-01-01 12:30:06,719.45,59,30.48,93,93.47,10.12,1900-01-01 06:10:00,1900-01-01 18:24:00,12,17
1474151105,2016-09-17,1900-01-01 12:25:05,805.97,59,30.48,94,14.91,7.87,1900-01-01 06:10:00,1900-01-01 18:24:00,12,17
1474150804,2016-09-17,1900-01-01 12:20:04,595.22,58,30.48,95,74.57,10.12,1900-01-01 06:10:00,1900-01-01 18:24:00,12,17
1474150504,2016-09-17,1900-01-01 12:15:04,899.44,58,30.48,98,37.01,5.62,1900-01-01 06:10:00,1900-01-01 18:24:00,12,17
1474150208,2016-09-17,1900-01-01 12:10:08,673.68,58,30.49,98,347.88,4.5,1900-01-01 06:10:00,1900-01-01 18:24:00,12,17
1474149908,2016-09-17,1900-01-01 12:05:08,720.55,58,30.48,99,30.71,1.12,1900-01-01 06:10:00,1900-01-01 18:24:00,12,17
1474149607,2016-09-17,1900-01-01 12:00:07,673.09,58,30.48,99,0.62,4.5,1900-01-01 06:10:00,1900-01-01 18:24:00,12,17
1474066502,2016-09-16,1900-01-01 12:55:02,1078.33,59,30.47,86,38.8,9.0,1900-01-01 06:10:00,1900-01-01 18:25:00,12,16
1474066204,2016-09-16,1900-01-01 12:50:04,1283.7,60,30.46,84,110.78,13.5,1900-01-01 06:10:00,1900-01-01 18:25:00,12,16
1474065903,2016-09-16,1900-01-01 12:45:03,917.41,60,30.46,83,39.61,13.5,1900-01-01 06:10:00,1900-01-01 18:25:00,12,16
1474065608,2016-09-16,1900-01-01 12:40:08,1119.79,60,30.47,83,0.12,9.0,1900-01-01 06:10:00,1900-01-01 18:25:00,12,16
1474065304,2016-09-16,1900-01-01 12:35:04,1161.83,60,30.47,84,49.05,4.5,1900-01-01 06:10:00,1900-01-01 18:25:00,12,16
1474065004,2016-09-16,1900-01-01 12:30:04,1164.28,60,30.47,84,43.98,4.5,1900-01-01 06:10:00,1900-01-01 18:25:00,12,16
1474064705,2016-09-16,1900-01-01 12:25:05,1049.95,60,30.47,83,329.87,6.75,1900-01-01 06:10:00,1900-01-01 18:25:00,12,16
1474064407,2016-09-16,1900-01-01 12:20:07,1115.32,60,30.47,83,80.81,3.37,1900-01-01 06:10:00,1900-01-01 18:25:00,12,16
1474064109,2016-09-16,1900-01-01 12:15:09,798.99,59,30.47,83,53.96,5.62,1900-01-01 06:10:00,1900-01-01 18:25:00,12,16
1474063804,2016-09-16,1900-01-01 12:10:04,1224.36,59,30.48,84,41.87,5.62,1900-01-01 06:10:00,1900-01-01 18:25:00,12,16
1474063503,2016-09-16,1900-01-01 12:05:03,1286.85,59,30.48,83,38.01,6.75,1900-01-01 06:10:00,1900-01-01 18:25:00,12,16
1474063207,2016-09-16,1900-01-01 12:00:07,1131.33,60,30.47,83,90.32,15.75,1900-01-01 06:10:00,1900-01-01 18:25:00,12,16
1473978305,2016-09-15,1900-01-01 12:25:05,67.75,54,30.46,88,120.08,2.25,1900-01-01 06:10:00,1900-01-01 18:26:00,12,15
1473893706,2016-09-14,1900-01-01 12:55:06,529.63,68,30.43,59,186.9,11.25,1900-01-01 06:10:00,1900-01-01 18:26:00,12,14
1473893406,2016-09-14,1900-01-01 12:50:06,1242.36,65,30.44,63,202.69,9.0,1900-01-01 06:10:00,1900-01-01 18:26:00,12,14
1473893103,2016-09-14,1900-01-01 12:45:03,360.84,65,30.44,65,193.5,9.0,1900-01-01 06:10:00,1900-01-01 18:26:00,12,14
1473892803,2016-09-14,1900-01-01 12:40:03,316.55,66,30.44,65,189.51,9.0,1900-01-01 06:10:00,1900-01-01 18:26:00,12,14
1473892504,2016-09-14,1900-01-01 12:35:04,349.34,66,30.44,69,173.68,12.37,1900-01-01 06:10:00,1900-01-01 18:26:00,12,14
1473892205,2016-09-14,1900-01-01 12:30:05,356.6,66,30.44,63,181.48,10.12,1900-01-01 06:10:00,1900-01-01 18:26:00,12,14
1473891905,2016-09-14,1900-01-01 12:25:05,479.49,65,30.44,66,155.13,9.0,1900-01-01 06:10:00,1900-01-01 18:26:00,12,14
1473891603,2016-09-14,1900-01-01 12:20:03,335.95,63,30.45,70,193.64,5.62,1900-01-01 06:10:00,1900-01-01 18:26:00,12,14
1473891304,2016-09-14,1900-01-01 12:15:04,1266.25,60,30.44,76,135.02,5.62,1900-01-01 06:10:00,1900-01-01 18:26:00,12,14
1473891004,2016-09-14,1900-01-01 12:10:04,369.96,60,30.44,77,98.87,3.37,1900-01-01 06:10:00,1900-01-01 18:26:00,12,14
1473890702,2016-09-14,1900-01-01 12:05:02,323.57,59,30.45,77,17.59,5.62,1900-01-01 06:10:00,1900-01-01 18:26:00,12,14
1473890405,2016-09-14,1900-01-01 12:00:05,310.68,59,30.45,79,29.11,7.87,1900-01-01 06:10:00,1900-01-01 18:26:00,12,14
1473807307,2016-09-13,1900-01-01 12:55:07,221.85,61,30.43,83,69.39,15.75,1900-01-01 06:10:00,1900-01-01 18:27:00,12,13
1473807008,2016-09-13,1900-01-01 12:50:08,197.32,62,30.43,82,35.89,4.5,1900-01-01 06:10:00,1900-01-01 18:27:00,12,13
1473806706,2016-09-13,1900-01-01 12:45:06,207.89,62,30.43,79,355.26,6.75,1900-01-01 06:10:00,1900-01-01 18:27:00,12,13
1473806403,2016-09-13,1900-01-01 12:40:03,260.01,62,30.44,80,47.38,3.37,1900-01-01 06:10:00,1900-01-01 18:27:00,12,13
1473806109,2016-09-13,1900-01-01 12:35:09,358.02,62,30.44,79,9.13,9.0,1900-01-01 06:10:00,1900-01-01 18:27:00,12,13
1473805805,2016-09-13,1900-01-01 12:30:05,208.75,63,30.44,77,58.44,4.5,1900-01-01 06:10:00,1900-01-01 18:27:00,12,13
1473805504,2016-09-13,1900-01-01 12:25:04,301.65,64,30.44,77,58.68,6.75,1900-01-01 06:10:00,1900-01-01 18:27:00,12,13
1473805205,2016-09-13,1900-01-01 12:20:05,228.81,65,30.45,73,46.65,18.0,1900-01-01 06:10:00,1900-01-01 18:27:00,12,13
1473804909,2016-09-13,1900-01-01 12:15:09,409.73,67,30.45,69,27.09,9.0,1900-01-01 06:10:00,1900-01-01 18:27:00,12,13
1473804608,2016-09-13,1900-01-01 12:10:08,1187.74,69,30.46,59,81.49,7.87,1900-01-01 06:10:00,1900-01-01 18:27:00,12,13
